date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20	turnover
2016-07-22	13.8	13.95	13.74	13.63	173733.16	-0.06	-0.43	13.72	13.565	13.435	266478.22	249030.29	282378.02	2.42
2016-07-21	14.0	14.45	13.8	13.77	362166.44	-0.34	-2.4	13.682	13.516	13.408	271699.88	252722.29	297818.21	5.05
2016-07-20	13.7	14.47	14.14	13.61	436948.56	0.45	3.29	13.67	13.441	13.348	274485.71	238623.67	307027.68	6.09
2016-07-19	13.23	13.74	13.69	13.14	187573.88	0.46	3.48	13.504	13.377	13.247	225292.6	214297.93	299874.15	2.62
2016-07-18	13.55	13.59	13.23	13.15	171969.06	-0.32	-2.36	13.42	13.377	13.114	230324.66	224440.38	296552.63	2.4
2016-07-15	13.62	13.98	13.55	13.55	199841.45	-0.19	-1.38	13.41	13.408	13.003	231582.36	238134.36	296476.0	2.79
2016-07-14	13.6	14.09	13.74	13.38	376095.62	0.43	3.23	13.35	13.399	12.885	233744.71	258004.36	293935.47	5.24
2016-07-13	13.25	13.47	13.31	13.1	190982.97	0.04	0.3	13.212	13.365	12.752	202761.63	266194.93	283186.2	2.66
2016-07-12	13.2	13.33	13.27	12.69	212734.19	0.09	0.68	13.25	13.312	12.658	203303.27	277693.48	280812.42	2.97
2016-07-11	13.25	13.62	13.18	13.15	178257.59	-0.07	-0.53	13.334	13.295	12.547	218556.1	287810.51	276901.14	2.49
2016-07-08	13.15	13.44	13.25	12.98	210653.17	0.2	1.53	13.406	13.304	12.448	244686.35	315725.74	275226.99	2.94
2016-07-07	13.45	13.64	13.05	12.98	221180.25	-0.45	-3.33	13.448	13.299	12.39	282264.01	342914.13	270921.86	3.08
2016-07-06	13.59	13.74	13.5	13.4	193691.16	-0.19	-1.39	13.518	13.254	12.343	329628.23	375431.68	268885.81	2.7
2016-07-05	13.6	14.12	13.69	13.42	288998.31	0.15	1.11	13.374	13.117	12.294	352083.69	385450.36	268632.3	4.03
2016-07-04	13.28	13.71	13.54	13.1	308908.88	0.08	0.59	13.256	12.851	12.226	357064.93	368664.88	263197.69	4.31
2016-07-01	13.21	13.78	13.46	13.07	398541.44	0.06	0.45	13.202	12.598	12.159	386765.13	354817.64	253204.49	5.56
2016-06-30	12.74	13.4	13.4	12.71	458001.34	0.62	4.85	13.15	12.37	12.087	403564.25	329866.59	240188.41	6.39
2016-06-29	13.1	13.1	12.78	12.69	305968.5	-0.32	-2.44	12.99	12.139	12.02	421235.13	300177.47	227746.77	4.27
2016-06-28	13.04	13.18	13.1	12.74	313904.47	-0.17	-1.28	12.86	12.004	11.94	418817.03	283931.37	215309.22	4.38
2016-06-27	12.92	13.61	13.27	12.7	457409.91	0.07	0.53	12.446	11.799	11.849	380264.83	265991.78	202648.46	6.38
2016-06-24	12.59	13.39	13.2	11.95	482537.03	0.6	4.76	11.994	11.592	11.757	322870.15	234728.24	183800.32	6.73
2016-06-23	12.45	13.12	12.6	12.25	546355.75	0.47	3.88	11.59	11.48	11.664	256168.92	198929.6	164572.4	7.62
2016-06-22	11.03	12.13	12.13	11.0	293878.0	1.1	9.97	11.288	11.431	11.614	179119.81	162339.95	142625.83	4.1
