date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20	turnover
2016-07-22	4.92	4.92	4.88	4.85	156186.59	-0.04	-0.81	4.892	4.929	5.144	180936.43	327985.02	287961.12	2.2
2016-07-21	4.88	4.95	4.92	4.86	210234.84	0.04	0.82	4.908	4.978	5.156	216456.25	327488.17	291590.86	2.97
2016-07-20	4.9	4.93	4.88	4.87	157091.94	-0.03	-0.61	4.902	5.026	5.171	232293.8	330684.44	289164.52	2.22
2016-07-19	4.9	4.91	4.91	4.84	183768.34	0.04	0.82	4.906	5.086	5.188	291188.93	340955.56	288642.22	2.59
2016-07-18	4.94	4.95	4.87	4.84	197400.42	-0.09	-1.81	4.91	5.139	5.2	419363.81	351505.39	291196.71	2.79
2016-07-15	4.88	4.99	4.96	4.86	333785.72	0.07	1.43	4.966	5.198	5.218	475033.61	371118.31	289040.41	4.71
2016-07-14	4.89	4.93	4.89	4.82	289422.56	-0.01	-0.2	5.048	5.229	5.234	438520.09	355947.86	281865.31	4.08
2016-07-13	4.87	4.93	4.9	4.77	451567.62	-0.03	-0.61	5.15	5.27	5.253	429075.09	352685.8	281322.27	6.37
2016-07-12	5.08	5.08	4.93	4.66	824642.75	-0.22	-4.27	5.266	5.315	5.275	390722.19	333993.37	276315.02	11.64
2016-07-11	5.25	5.29	5.15	5.12	475749.41	-0.22	-4.1	5.368	5.351	5.286	283646.96	274977.25	246966.36	6.71
2016-07-08	5.4	5.42	5.37	5.34	151218.12	-0.03	-0.56	5.43	5.358	5.288	267203.0	247937.21	240886.22	2.13
2016-07-07	5.48	5.48	5.4	5.34	242197.53	-0.08	-1.46	5.41	5.334	5.305	273375.63	255693.54	251981.09	3.42
2016-07-06	5.4	5.5	5.48	5.36	259803.12	0.04	0.73	5.39	5.315	5.329	276296.51	247644.6	255089.24	3.67
2016-07-05	5.43	5.47	5.44	5.38	289266.62	-0.02	-0.37	5.364	5.289	5.352	277264.56	236328.89	256301.75	4.08
2016-07-04	5.23	5.49	5.46	5.19	393529.62	0.19	3.6	5.334	5.261	5.375	266307.53	230888.03	264947.43	5.55
2016-07-01	5.3	5.32	5.27	5.25	182081.27	-0.03	-0.57	5.286	5.237	5.404	228671.42	206962.52	277784.56	2.57
2016-06-30	5.32	5.4	5.3	5.25	256801.92	-0.05	-0.94	5.258	5.238	5.432	238011.45	207782.75	291443.89	3.62
2016-06-29	5.31	5.43	5.35	5.3	264643.38	0.06	1.13	5.24	5.235	5.461	218992.68	209958.74	302833.6	3.73
2016-06-28	5.19	5.29	5.29	5.16	234481.48	0.07	1.34	5.214	5.235	5.476	195393.22	218636.66	302064.85	3.31
2016-06-27	5.06	5.22	5.22	5.06	205349.06	0.09	1.75	5.188	5.22	5.501	195468.53	218955.47	307412.07	2.9
2016-06-24	5.23	5.26	5.13	5.0	228781.41	-0.08	-1.54	5.188	5.218	5.538	185253.61	233835.24	320376.56	3.23
2016-06-23	5.2	5.26	5.21	5.18	161708.09	-0.01	-0.19	5.218	5.275	5.586	177554.06	248268.64	325907.99	2.28
2016-06-22	5.15	5.23	5.22	5.12	146646.05	0.06	1.16	5.23	5.342	5.629	200924.81	262533.88	336932.57	2.07
2016-06-21	5.25	5.35	5.16	5.13	234858.05	-0.06	-1.15	5.256	5.415	5.682	241880.11	276274.6	347600.57	3.31
2016-06-20	5.3	5.34	5.22	5.16	154274.47	-0.06	-1.14	5.252	5.489	5.734	242442.4	299006.82	357804.78	2.18
2016-06-17	5.26	5.36	5.28	5.25	190283.62	0.01	0.19	5.248	5.57	5.783	282416.86	348606.6	375854.47	2.69
2016-06-16	5.3	5.41	5.27	5.23	278561.84	-0.08	-1.5	5.332	5.625	5.835	318983.22	375105.03	400796.86	3.93
2016-06-15	5.08	5.42	5.35	5.06	351422.56	0.21	4.09	5.454	5.686	5.901	324142.94	395708.45	433639.77	4.96
2016-06-14	5.14	5.2	5.14	5.06	237669.5	-0.06	-1.15	5.574	5.716	5.95	310669.09	385493.04	440180.35	3.35
2016-06-13	5.6	5.61	5.2	5.17	354146.78	-0.5	-8.77	5.726	5.782	6.002	355571.24	395868.67	449339.86	5.0
2016-06-08	5.84	5.86	5.7	5.67	373115.41	-0.18	-3.06	5.892	5.858	6.056	414796.34	406917.88	455522.23	5.26
2016-06-07	5.97	6.01	5.88	5.85	304360.47	-0.07	-1.18	5.918	5.897	6.089	431226.85	403547.35	465153.9	4.29
2016-06-06	5.91	6.03	5.95	5.87	284053.31	0.05	0.85	5.918	5.915	6.113	467273.96	411331.27	477615.27	4.01
2016-06-03	5.98	6.03	5.9	5.86	462180.25	-0.13	-2.16	5.858	5.948	6.144	460316.99	418926.55	504532.03	6.52
2016-06-02	5.8	6.1	6.03	5.72	650272.25	0.2	3.43	5.838	5.978	6.169	436166.09	416602.74	529069.59	9.18
2016-06-01	5.87	5.94	5.83	5.81	455267.97	-0.05	-0.85	5.824	5.995	6.21	399039.43	403102.34	543959.42	6.42
2016-05-31	5.62	5.89	5.88	5.6	484596.0	0.23	4.07	5.876	6.044	6.251	375867.84	426488.68	582314.4	6.84
2016-05-30	5.75	5.82	5.65	5.65	249268.48	-0.15	-2.59	5.912	6.115	6.281	355388.59	471571.1	600673.58	3.52
2016-05-27	5.95	5.95	5.8	5.79	341425.75	-0.16	-2.69	6.038	6.183	6.304	377536.11	494867.66	618609.38	4.82
