date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20	turnover
2016-07-22	14.53	14.97	14.56	14.5	72441.18	-0.13	-0.89	14.288	14.266	14.256	46567.56	41499.76	40017.1	2.31
2016-07-21	14.03	14.8	14.69	14.03	101016.64	0.65	4.63	14.196	14.221	14.209	38463.67	36680.66	38310.42	3.23
2016-07-20	14.09	14.12	14.04	13.98	15059.0	-0.05	-0.35	14.128	14.175	14.18	24048.78	31043.34	35602.87	0.48
2016-07-19	14.0	14.13	14.09	13.99	20215.3	0.03	0.21	14.204	14.201	14.17	30857.87	33406.8	35874.89	0.65
2016-07-18	14.06	14.18	14.06	13.98	24105.67	-0.04	-0.28	14.216	14.232	14.148	34557.56	35558.28	36123.64	0.77
2016-07-15	14.28	14.28	14.1	14.06	31921.75	-0.25	-1.74	14.244	14.266	14.137	36431.96	38150.49	36134.44	1.02
2016-07-14	14.33	14.42	14.35	14.22	28942.2	-0.07	-0.48	14.246	14.287	14.135	34897.64	39363.94	35936.65	0.92
2016-07-13	14.15	14.42	14.42	14.08	49104.45	0.27	1.91	14.222	14.28	14.121	38037.89	39506.87	35887.65	1.57
2016-07-12	14.23	14.25	14.15	13.81	38713.72	-0.05	-0.35	14.198	14.264	14.108	35955.73	38582.27	35343.55	1.24
2016-07-11	14.16	14.29	14.2	14.03	33477.69	0.09	0.64	14.248	14.272	14.07	36559.0	38952.71	34333.59	1.07
2016-07-08	14.18	14.23	14.11	14.0	24250.16	-0.12	-0.84	14.288	14.246	14.027	39869.01	38534.43	34133.1	0.77
2016-07-07	14.22	14.31	14.23	14.0	44643.41	-0.07	-0.49	14.328	14.196	14.021	43830.24	39940.18	34272.57	1.43
2016-07-06	14.28	14.5	14.3	14.19	38693.68	-0.1	-0.69	14.338	14.184	14.015	40975.86	40162.41	33143.68	1.24
2016-07-05	14.4	14.53	14.4	14.26	41730.08	0.0	0.0	14.33	14.139	14.008	41208.81	38342.97	32802.74	1.33
2016-07-04	14.3	14.48	14.4	14.1	50027.71	0.09	0.63	14.296	14.064	13.991	41346.41	36688.99	32489.33	1.6
2016-07-01	14.27	14.61	14.31	14.11	44056.34	0.03	0.21	14.204	14.008	13.976	37199.86	34118.4	31767.15	1.41
2016-06-30	14.31	14.51	14.28	14.2	30371.47	0.02	0.14	14.064	13.982	13.971	36050.11	32509.36	31955.1	0.97
2016-06-29	14.21	14.38	14.26	14.1	39858.46	0.03	0.21	14.03	13.962	13.968	39348.97	32268.43	34129.97	1.27
2016-06-28	13.84	14.27	14.23	13.8	42418.07	0.29	2.08	13.948	13.952	13.945	35477.13	32104.83	36820.35	1.35
2016-06-27	13.5	14.0	13.94	13.45	29294.94	0.33	2.42	13.832	13.867	13.889	32031.58	29714.47	36216.36	0.94
2016-06-24	13.96	14.08	13.61	13.0	38307.62	-0.5	-3.54	13.812	13.808	13.85	31036.94	29731.76	37991.9	1.22
2016-06-23	13.85	14.29	14.11	13.51	46865.75	0.26	1.88	13.9	13.845	13.824	28968.61	28604.97	37717.24	1.5
2016-06-22	13.6	13.92	13.85	13.58	20499.26	0.2	1.47	13.894	13.845	13.783	25187.89	26124.95	36968.15	0.65
2016-06-21	13.97	14.04	13.65	13.59	25190.32	-0.19	-1.37	13.956	13.877	13.755	28732.53	27262.52	37733.44	0.8
2016-06-20	13.96	14.14	13.84	13.75	24321.73	-0.21	-1.5	13.902	13.918	13.74	27397.37	28289.66	39023.88	0.78
2016-06-17	14.22	14.24	14.05	13.78	27965.99	-0.03	-0.21	13.804	13.944	13.707	28426.58	29415.91	41761.64	0.89
2016-06-16	14.17	14.3	14.08	14.0	27962.17	-0.08	-0.56	13.79	13.96	13.633	28241.33	31400.85	42561.21	0.89
2016-06-15	13.31	14.72	14.16	13.22	38222.45	0.78	5.83	13.796	13.974	13.553	27062.02	35991.5	42769.71	1.22
2016-06-14	13.53	13.53	13.38	13.23	18514.49	0.03	0.23	13.798	13.938	13.469	25792.5	41535.87	42124.79	0.59
2016-06-13	13.79	14.11	13.35	13.35	29467.8	-0.63	-4.51	13.934	13.91	13.424	29181.96	42718.25	42598.31	0.94
2016-06-08	14.2	14.2	13.98	13.8	27039.74	-0.13	-0.92	14.084	13.892	13.381	30405.23	46252.03	42926.58	0.86
2016-06-07	14.09	14.19	14.11	13.96	22065.6	-0.06	-0.42	14.13	13.802	13.292	34560.36	46829.51	44154.55	0.7
2016-06-06	14.1	14.43	14.17	14.08	31874.88	0.11	0.78	14.152	13.721	13.199	44920.98	47811.35	45398.25	1.02
2016-06-03	14.12	14.2	14.06	13.92	35461.78	-0.04	-0.28	14.078	13.633	13.116	57279.23	48204.37	47517.85	1.13
2016-06-02	14.11	14.4	14.1	13.98	35584.15	-0.11	-0.77	13.886	13.562	13.108	56254.53	49758.1	48090.84	1.14
2016-06-01	14.33	14.55	14.21	14.1	47815.41	-0.01	-0.07	13.7	13.47	13.13	62098.84	54107.37	48012.0	1.53
2016-05-31	14.1	14.29	14.22	13.81	73868.7	0.42	3.04	13.474	13.306	13.146	59098.66	53721.57	48077.37	2.36
2016-05-30	12.78	14.23	13.8	12.65	93666.11	0.7	5.34	13.29	13.132	13.177	50701.71	49547.92	48318.11	2.99
2016-05-27	13.17	13.38	13.1	13.09	30338.28	-0.07	-0.53	13.188	13.0	13.193	39129.51	42713.72	46065.87	0.97
2016-05-26	12.93	13.2	13.17	12.31	64805.68	0.09	0.69	13.238	12.938	13.252	43261.68	42478.38	47132.68	2.07
2016-05-25	13.38	13.52	13.08	13.03	32814.54	-0.22	-1.65	13.24	12.869	13.33	46115.91	39601.13	45309.61	1.05
2016-05-24	13.35	13.4	13.3	12.95	31883.93	0.01	0.07	13.138	12.781	13.424	48344.48	41479.58	45850.82	1.02
2016-05-23	13.32	13.63	13.29	13.19	35805.13	-0.06	-0.45	12.974	12.677	13.502	48394.13	42985.15	45995.99	1.14
2016-05-20	13.11	13.51	13.35	12.8	50999.11	0.17	1.29	12.812	12.599	13.583	46297.93	46831.34	46149.84	1.63
2016-05-19	12.57	13.43	13.18	12.45	79076.82	0.61	4.85	12.638	12.654	13.643	41695.08	46423.58	47814.83	2.53
2016-05-18	12.45	12.78	12.57	12.3	43957.4	0.09	0.72	12.498	12.79	13.724	33086.35	41916.64	48797.95	1.4
2016-05-17	12.48	12.64	12.48	12.38	32132.21	0.0	0.0	12.424	12.985	13.912	34614.68	42433.16	48482.99	1.03
2016-05-16	12.21	12.54	12.48	12.21	25324.09	0.0	0.0	12.38	13.221	14.117	37576.16	47088.31	49409.03	0.81
2016-05-13	12.3	12.58	12.48	12.21	27984.89	0.0	0.0	12.386	13.385	14.352	47364.75	49418.02	52952.77	0.89
2016-05-12	12.04	12.62	12.48	11.78	36033.14	0.28	2.29	12.67	13.565	14.56	51152.07	51786.98	53620.57	1.15
2016-05-11	12.39	12.44	12.2	11.99	51599.08	-0.06	-0.49	13.082	13.79	14.76	50746.93	51018.09	54542.84	1.65
2016-05-10	12.18	12.51	12.26	11.89	46939.59	-0.25	-2.0	13.546	14.067	14.968	50251.65	50222.06	53798.54	1.5
2016-05-09	13.76	13.76	12.51	12.51	74267.05	-1.39	-10.0	14.062	14.327	15.175	56600.45	49006.84	54986.94	2.37
2016-05-06	14.54	14.68	13.9	13.8	46921.48	-0.6	-4.14	14.384	14.566	15.37	51471.28	45468.35	54862.77	1.5
2016-05-05	14.52	14.54	14.54	14.24	34007.44	0.02	0.14	14.46	14.632	15.485	52421.9	49206.09	56418.64	1.09
2016-05-04	14.73	14.77	14.52	14.46	49122.67	-0.32	-2.16	14.498	14.658	15.584	51289.26	55679.26	66877.41	1.57
2016-05-03	14.1	14.94	14.84	14.01	78683.63	0.72	5.1	14.588	14.838	15.729	50192.48	54532.81	69745.34	2.51
2016-04-29	14.21	14.36	14.12	13.89	48621.2	-0.16	-1.12	14.592	15.012	15.861	41413.22	51729.75	71848.45	1.55
2016-04-28	14.73	14.8	14.28	14.0	51674.54	-0.45	-3.06	14.748	15.319	16.0	39465.41	56487.52	75329.94	1.65
2016-04-27	14.89	15.02	14.73	14.71	28344.25	-0.24	-1.6	14.804	15.554	16.097	45990.29	55454.17	76010.44	0.91
2016-04-26	14.79	14.99	14.97	14.51	43638.77	0.11	0.74	14.818	15.729	16.149	60069.26	58067.59	77387.98	1.39
2016-04-25	14.53	15.2	14.86	14.41	34787.36	-0.04	-0.27	15.088	15.869	16.186	58873.13	57375.03	78121.54	1.11
