date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20	turnover
2016-07-25	23.18	23.43	23.42	23.16	34464.09	0.08	0.34	23.674	23.905	23.834	52135.72	66407.98	88932.69	1.91
2016-07-22	23.59	23.67	23.33	23.3	47932.0	-0.29	-1.23	23.74	23.938	23.815	56067.14	74024.86	88687.67	2.65
2016-07-21	23.86	23.95	23.61	23.61	63218.0	-0.25	-1.05	23.884	24.013	23.778	57610.98	82393.67	88088.87	3.5
2016-07-20	24.15	24.15	23.86	23.78	48818.0	-0.27	-1.12	24.006	24.091	23.754	59186.79	96975.73	86332.97	2.7
2016-07-19	23.84	24.24	24.15	23.69	66246.53	0.41	1.73	24.09	24.021	23.732	71650.59	105649.07	85572.86	3.67
2016-07-18	23.9	23.95	23.75	23.61	54121.16	-0.29	-1.21	24.136	23.937	23.674	80680.24	127536.15	84180.77	2.99
2016-07-15	24.21	24.3	24.05	23.93	55651.22	-0.17	-0.7	24.136	23.963	23.662	91982.58	128192.29	83666.52	3.08
2016-07-14	24.3	24.45	24.22	23.95	71097.04	-0.02	-0.08	24.142	23.924	23.607	107176.36	125607.0	82426.4	3.93
2016-07-13	24.55	24.7	24.28	24.05	111137.02	-0.07	-0.29	24.176	23.871	23.536	134764.66	121885.86	80224.97	6.15
2016-07-12	23.85	24.38	24.38	23.34	111394.76	0.6	2.52	23.952	23.827	23.475	139647.54	116808.99	76590.28	6.16
2016-07-11	24.0	24.29	23.75	23.73	110632.86	-0.35	-1.45	23.738	23.762	23.375	174392.07	111457.41	71856.91	6.12
2016-07-08	24.14	24.36	24.08	23.83	131620.11	-0.35	-1.43	23.79	23.692	23.295	164402.0	103350.48	68018.87	7.28
2016-07-07	23.01	24.88	24.39	22.98	209038.55	1.24	5.36	23.706	23.543	23.272	144037.64	93784.07	63318.3	11.57
2016-07-06	23.3	23.3	23.16	22.65	135551.41	-0.14	-0.6	23.566	23.417	23.256	109007.06	75690.22	55369.39	7.5
2016-07-05	23.85	23.96	23.31	23.16	285117.41	-0.71	-2.96	23.702	23.443	23.274	93970.44	65496.65	50346.19	15.78
2016-07-04	23.3	24.08	24.01	23.3	60682.5	0.36	1.52	23.786	23.411	23.297	48522.75	40825.39	39348.91	3.36
2016-07-01	23.61	23.78	23.66	23.38	29798.34	0.06	0.25	23.594	23.361	23.24	42298.97	39140.75	37928.0	1.65
2016-06-30	23.69	23.8	23.69	23.46	33885.64	-0.16	-0.67	23.38	23.289	23.188	43530.5	39245.79	38304.98	1.88
2016-06-29	23.68	24.15	23.84	23.43	60368.3	0.11	0.46	23.268	23.2	23.138	42373.38	38564.08	38742.72	10.27
2016-06-28	22.89	23.8	23.73	22.73	57878.96	0.68	2.95	23.184	23.123	23.034	37022.86	36371.58	36425.68	9.84
2016-06-27	22.3	23.14	23.05	22.2	29563.61	0.46	2.04	23.036	22.988	22.952	33128.02	32256.41	34647.43	5.03
2016-06-24	23.14	23.27	22.59	22.09	35956.0	-0.55	-2.38	23.128	22.897	22.894	35982.53	32687.25	33912.93	6.11
2016-06-23	23.41	23.5	23.13	22.92	28100.05	-0.31	-1.32	23.198	23.001	22.856	34961.08	32852.52	32808.45	4.78
2016-06-22	22.9	23.45	23.42	22.85	33615.66	0.44	1.92	23.132	23.094	22.79	34754.78	35048.56	32174.82	5.72
2016-06-21	23.5	23.82	22.99	22.8	38404.8	-0.52	-2.21	23.062	23.104	22.728	35720.29	35195.73	31545.89	6.53
2016-06-20	22.88	23.58	23.51	22.4	43836.13	0.58	2.53	22.94	23.183	22.662	31384.8	37872.44	30352.56	7.46
2016-06-17	22.77	23.22	22.94	22.77	30848.77	0.17	0.75	22.666	23.119	22.561	29391.98	36715.26	29133.29	5.25
2016-06-16	23.0	23.17	22.8	22.66	27068.52	-0.29	-1.26	22.804	23.086	22.475	30743.96	37364.17	28749.15	4.6
2016-06-15	22.16	23.23	23.07	22.0	38443.25	0.72	3.22	23.056	23.076	22.439	35342.35	38921.36	28342.28	6.54
2016-06-14	22.12	22.38	22.38	22.02	16727.31	0.25	1.13	23.146	22.944	22.4	34671.16	36479.78	27468.58	2.84
