date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20	turnover
2016-07-22	55.94	55.94	55.94	55.94	546.0	5.09	10.01	46.652	37.812	32.381	187.24	114.52	89.44	0.27
2016-07-21	50.85	50.85	50.85	50.85	149.68	4.62	9.99	42.412	34.375	30.569	91.04	63.02	54.32	0.07
2016-07-20	46.23	46.23	46.23	46.23	93.0	4.2	9.99	38.558	31.251	28.879	71.5	50.05	46.38	0.05
2016-07-19	42.03	42.03	42.03	42.03	76.51	3.82	10.0	35.054	28.411	27.302	61.1	41.75	42.14	0.04
2016-07-18	38.21	38.21	38.21	38.21	71.0	3.47	9.99	31.868	25.829	25.829	52.0	38.7	38.7	0.04
2016-07-15	34.74	34.74	34.74	34.74	65.0	3.16	10.01	28.972	24.453	24.453	41.8	35.11	35.11	0.03
2016-07-14	31.58	31.58	31.58	31.58	52.0	2.87	10.0	26.338	23.168	23.168	35.0	31.38	31.38	0.03
2016-07-13	28.71	28.71	28.71	28.71	41.0	2.61	10.0	23.944	21.966	21.966	28.6	28.43	28.43	0.02
2016-07-12	26.1	26.1	26.1	26.1	31.0	2.37	9.99	21.768	20.842	20.842	22.4	26.33	26.33	0.02
2016-07-11	23.73	23.73	23.73	23.73	20.0	2.16	10.01	19.79	19.79	19.79	25.4	25.4	25.4	0.01
2016-07-08	21.57	21.57	21.57	21.57	31.0	1.96	9.99	18.805	18.805	18.805	26.75	26.75	26.75	0.02
2016-07-07	19.61	19.61	19.61	19.61	20.0	1.78	9.98	17.883	17.883	17.883	25.33	25.33	25.33	0.01
2016-07-06	17.83	17.83	17.83	17.83	10.0	1.62	9.99	17.02	17.02	17.02	28.0	28.0	28.0	0.01
2016-07-05	13.51	16.21	16.21	13.51	46.0	4.95	43.96	16.21	16.21	16.21	46.0	46.0	46.0	0.02
