date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20	turnover
2016-07-22	13.45	13.9	13.65	13.45	47386.64	0.16	1.19	13.638	13.693	13.433	59075.67	76348.62	89286.78	0.99
2016-07-21	13.55	13.68	13.49	13.41	57348.87	-0.04	-0.3	13.692	13.665	13.351	70113.65	78840.52	91525.43	1.2
2016-07-20	13.75	13.79	13.53	13.4	60597.94	-0.19	-1.39	13.762	13.661	13.279	80857.19	81520.6	93125.25	1.27
2016-07-19	13.74	13.87	13.72	13.42	72121.4	-0.08	-0.58	13.782	13.687	13.2	83266.88	87451.56	93972.19	1.51
2016-07-18	13.93	14.02	13.8	13.79	57923.5	-0.12	-0.86	13.752	13.64	13.094	80255.74	88623.9	95348.33	1.21
2016-07-15	13.8	14.26	13.92	13.8	102576.54	0.08	0.58	13.748	13.579	13.0	93621.57	90801.19	97846.96	2.15
2016-07-14	13.6	14.01	13.84	13.5	111066.59	0.21	1.54	13.638	13.488	12.882	87567.4	88822.39	98160.72	2.32
2016-07-13	13.61	13.77	13.63	13.4	72646.38	0.06	0.44	13.56	13.392	12.752	82184.01	90064.17	95841.72	1.52
2016-07-12	13.45	13.75	13.57	13.35	57065.71	-0.21	-1.52	13.592	13.353	12.632	91636.24	95270.97	96022.74	1.19
2016-07-11	13.37	14.0	13.78	13.1	124752.64	0.41	3.07	13.528	13.312	12.491	96992.05	106132.27	95656.82	2.61
2016-07-08	13.38	13.44	13.37	13.2	72305.66	-0.08	-0.59	13.41	13.173	12.34	87980.8	102224.93	94658.82	1.51
2016-07-07	13.77	13.79	13.45	13.38	84149.65	-0.34	-2.47	13.338	13.036	12.235	90077.38	104210.35	95078.21	1.76
2016-07-06	13.15	13.88	13.79	13.13	119907.53	0.54	4.08	13.224	12.897	12.121	97944.33	104729.89	97300.58	2.51
2016-07-05	13.11	13.3	13.25	13.01	83844.75	0.06	0.46	13.114	12.712	11.968	98905.69	100492.83	94170.69	1.75
2016-07-04	13.0	13.28	13.19	12.8	79696.41	0.18	1.38	13.096	12.547	11.837	115272.49	102072.77	92990.61	1.67
2016-07-01	12.88	13.27	13.01	12.81	82788.56	0.13	1.01	12.936	12.421	11.709	116469.06	104892.74	91505.76	1.73
2016-06-30	13.26	13.35	12.88	12.68	123484.39	-0.36	-2.72	12.734	12.276	11.592	118343.31	107499.05	91270.22	2.58
2016-06-29	13.1	13.59	13.24	13.1	124714.36	0.08	0.61	12.57	12.112	11.478	111515.45	101619.27	89197.24	2.61
2016-06-28	12.39	13.38	13.16	12.2	165678.73	0.77	6.21	12.31	11.911	11.32	102079.96	96774.51	84329.25	3.47
2016-06-27	11.85	12.45	12.39	11.82	85679.25	0.39	3.25	11.998	11.669	11.172	88873.05	85181.36	77826.41	1.79
2016-06-24	12.02	12.3	12.0	11.55	92159.82	-0.06	-0.5	11.906	11.506	11.066	93316.42	87092.71	75798.32	1.93
2016-06-23	11.94	12.4	12.06	11.9	89345.1	0.12	1.0	11.818	11.434	10.98	96654.78	85946.08	73715.12	1.87
2016-06-22	11.63	11.99	11.94	11.51	77536.89	0.34	2.93	11.654	11.345	10.893	91723.08	89871.26	71933.07	1.62
2016-06-21	11.86	12.2	11.6	11.41	99644.18	-0.33	-2.77	11.512	11.224	10.823	91469.07	87848.55	72502.92	2.09
2016-06-20	11.55	12.06	11.93	11.36	107896.13	0.37	3.2	11.34	11.126	10.753	81489.68	83908.45	70028.45	2.26
2016-06-17	11.2	11.74	11.56	11.16	108851.6	0.32	2.85	11.106	10.996	10.659	80868.99	78118.78	67232.09	2.28
2016-06-16	11.19	11.29	11.24	11.09	64686.6	0.01	0.09	11.05	10.908	10.577	75237.37	75041.39	65064.44	1.35
2016-06-15	10.52	11.4	11.23	10.4	76266.84	0.49	4.56	11.036	10.844	10.521	88019.45	76775.22	65933.34	1.6
2016-06-14	10.78	10.88	10.74	10.6	49747.23	-0.02	-0.19	10.936	10.729	10.452	84228.04	71883.98	64163.72	1.04
2016-06-13	11.03	11.14	10.76	10.73	104792.69	-0.52	-4.61	10.912	10.674	10.396	86327.23	70471.46	65911.71	2.19
2016-06-08	11.16	11.38	11.28	11.01	80693.49	0.11	0.98	10.886	10.626	10.367	75368.56	64503.93	64229.52	1.69
2016-06-07	10.73	11.47	11.17	10.65	128596.99	0.44	4.1	10.766	10.526	10.3	74845.41	61484.17	62045.2	2.69
2016-06-06	10.62	10.86	10.73	10.62	57309.78	0.11	1.04	10.652	10.441	10.239	65530.99	53994.87	59292.07	1.2
2016-06-03	10.71	10.78	10.62	10.52	60243.18	-0.01	-0.09	10.522	10.422	10.212	59539.92	57157.28	61884.73	1.26
2016-06-02	10.62	10.77	10.63	10.56	49999.36	-0.05	-0.47	10.436	10.379	10.247	54615.69	56148.45	65728.98	1.05
