date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20	turnover
2016-07-22	22.1	22.38	21.4	21.33	350698.34	-0.8	-3.6	21.956	19.71	18.296	570931.29	397138.66	290149.89	15.3
2016-07-21	22.19	22.86	22.2	21.63	599779.94	-0.81	-3.52	21.512	19.27	17.985	623787.04	376309.19	279213.97	26.17
2016-07-20	22.11	24.28	23.01	21.22	730964.81	0.94	4.26	20.728	18.769	17.655	533537.58	331870.75	255695.71	31.9
2016-07-14	21.5	23.21	22.07	21.21	707456.19	0.97	4.6	19.45	18.139	17.298	409795.8	271221.1	226455.75	30.87
2016-07-13	19.0	21.1	21.1	18.45	465757.19	1.92	10.01	18.344	17.632	16.979	292335.18	214200.77	198849.42	20.32
2016-07-12	18.69	20.11	19.18	18.51	614977.06	0.9	4.92	17.464	17.238	16.728	223346.03	184916.14	183725.04	26.83
2016-07-11	18.0	18.28	18.28	17.5	148532.66	1.66	9.99	17.028	17.054	16.542	128831.34	146801.23	160184.29	6.48
2016-07-08	16.53	16.9	16.62	16.41	112255.89	0.08	0.48	16.81	16.917	16.407	130203.92	153751.35	161419.88	4.9
2016-07-07	16.73	16.87	16.54	16.25	120153.09	-0.16	-0.96	16.828	16.869	16.442	132646.41	162175.9	162684.18	5.24
2016-07-06	16.9	16.95	16.7	16.55	120811.46	-0.3	-1.76	16.92	16.883	16.497	136066.37	174804.43	165773.31	5.27
2016-07-05	17.19	17.38	17.0	16.82	142403.61	-0.19	-1.1	17.012	16.882	16.56	146486.25	183161.11	171692.48	6.21
2016-07-04	16.49	17.28	17.19	16.46	155395.56	0.48	2.87	17.08	16.699	16.598	164771.12	182118.76	179964.36	6.78
2016-07-01	17.05	17.16	16.71	16.58	124468.31	-0.29	-1.71	17.024	16.54	16.648	177298.79	179520.66	197058.33	5.43
2016-06-30	17.2	17.25	17.0	16.72	137252.89	-0.16	-0.93	16.91	16.457	16.677	191705.39	181690.39	201709.25	5.99
2016-06-29	17.45	17.64	17.16	16.9	172910.86	-0.18	-1.04	16.846	16.325	16.614	213542.5	183498.07	205839.42	7.55
2016-06-28	16.76	17.48	17.34	16.65	233827.97	0.43	2.54	16.752	16.217	16.496	219835.98	182533.95	205604.01	10.2
2016-06-27	15.87	17.28	16.91	15.87	218033.91	0.77	4.77	16.318	16.03	16.402	199466.4	173567.34	204654.93	9.51
2016-06-24	16.5	16.88	16.14	15.1	196501.33	-0.54	-3.24	16.056	15.897	16.344	181742.53	169088.41	205173.33	8.57
2016-06-23	16.55	17.11	16.68	16.11	246438.42	-0.01	-0.06	16.004	16.014	16.328	171675.39	163192.47	212249.74	10.75
2016-06-22	15.19	16.69	16.69	15.0	204378.28	1.52	10.02	15.804	16.111	16.281	153453.64	156742.19	211850.66	8.92
2016-06-21	15.78	15.88	15.17	15.0	131980.05	-0.43	-2.76	15.682	16.238	16.229	145231.92	160223.85	214694.95	5.76
2016-06-20	15.96	15.96	15.6	15.1	129414.56	-0.28	-1.76	15.742	16.496	16.242	147668.29	177809.96	221995.14	5.65
2016-06-17	15.75	16.24	15.88	15.55	146165.64	0.2	1.28	15.738	16.755	16.251	156434.29	214596.01	235764.41	6.38
2016-06-16	16.05	16.48	15.68	15.51	155329.69	-0.4	-2.49	16.024	16.897	16.23	154709.55	221728.1	251774.82	6.78
